lineId,date,transport,routeReal,route,driver,deliveryId,clientId,clientName,address,postalCode,city,material,product,quantity,unit,productType,weightKg,volumeM3,pallets,returnable,metricSource,priority,priorityScore,serviceMinutesClient,optimizedSequence,loadZone
827963194-ED15LN-1,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,ED15LN,ESTRELLA DAMM 1/5 LN,2.0,CAJ,caja,28.68,0.012,0.02857,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-CJ15-2,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,2.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,3.0,16.7,15,8
827963194-ED30-3,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,ED30,ESTRELLA DAMM BARRIL 30,4.0,BRL,barril,171.152,0.12,0.66667,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-BRL30V-4,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,BRL30V,BARRIL INOX 30L. EURONORMA,4.0,BRL,barril,0.0,0.0,0.0,False,sin ZM040,Media,3.0,16.7,15,8
827963194-VE12SP-5,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,2.0,CAJ,caja,25.8,0.024,0.03175,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-0RF0020-6,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,0RF0020,/-FANTA NARANJA LATA 33CL 24U,1.0,CAJ,lata,8.6,0.00792,0.00926,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-0RF0022-7,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,0RF0022,/-AQUARIUS LIMON 33CL LATA 24U,2.0,CAJ,lata,17.2,0.01584,0.01852,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-0RF1697-8,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,0RF1697,/-COCA COLA IMPORT LATA33 24U,3.0,CAJ,lata,25.8,0.02376,0.0303,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-DL20-9,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,DL20,DAMM LEMON BARRIL 20L.,1.0,BRL,barril,27.596,0.02,0.06667,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-BRL20V-10,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,BRL20V,BARRIL INOX 20L. TANQUETA A16,1.0,BRL,barril,0.0,0.0,0.0,False,sin ZM040,Media,3.0,16.7,15,8
